,temp_C,isolate,average_propagation_per_1_dead_larvae
0,16,ALL,0.0
1,16,Control,0.0
2,16,GR3a-2,200.0
3,16,HO6,0.0
4,16,Hr-1a,0.0
5,16,MC2b-1,330.1470588235294
6,16,NC4a,0.0
7,24,ALL,604.3650793650793
8,24,Control,0.0
9,24,GR3a-2,618.75
10,24,HO6,928.3333333333334
11,24,Hr-1a,4357.361111111111
12,24,MC2b-1,917.1428571428571
13,24,NC4a,1281.9444444444443
14,26,ALL,979.5833333333333
15,26,Control,0.0
16,26,GR3a-2,1056.8589743589744
17,26,HO6,1313.095238095238
18,26,Hr-1a,919.2708333333334
19,26,MC2b-1,476.6666666666667
20,26,NC4a,1318.75
21,30,ALL,0.0
22,30,Control,0.0
23,30,GR3a-2,0.0
24,30,HO6,0.0
25,30,Hr-1a,0.0
26,30,MC2b-1,0.0
27,30,NC4a,0.0
